district_cd,mode,total_pop,pop_with_access_15min,pop_with_access_30min,coverage_15min,coverage_30min,district_name
26010,car,203534,203534,203534,100,100,Busan Jung-gu
26010,transit,200923,146407,198679,72.86721778989961,98.88315424316778,Busan Jung-gu
32010,car,291903,279528,288674,95.7605780002261,98.89381061517011,Chuncheon
32010,transit,276772,160518,256230,57.996473631725756,92.57800644573872,Chuncheon
32030,car,213786,201184,210309,94.10532027354456,98.37360725211192,Gangneung
32030,transit,197125,61775,169266,31.33798351299937,85.86734305643627,Gangneung
38600,bicycle,10055,9233,9233,91.82496270512182,91.82496270512182,Hapcheon
38600,car,38593,15088,33320,39.095172699712386,86.33690047417926,Hapcheon
38600,transit,14879,7971,8821,53.57214866590496,59.28489817864103,Hapcheon
38600,walk,10055,7971,8821,79.2739930382894,87.72749875683739,Hapcheon
39010,car,491208,470100,490776,95.70283871598181,99.91205354961646,Jeju
39010,transit,470006,286616,395946,60.981349174265866,84.24275434781684,Jeju
