district_cd,mode,mean_15min,mean_30min,total_pop,district_name,context
26010,bicycle,4.06399913527961,14.873028584904734,203534,Ulsan Jung-gu,Dense metropolitan core
26010,car,101.94457437086679,128.16088221132588,203534,Ulsan Jung-gu,Dense metropolitan core
26010,transit,3.6371728228862663,54.06114621308152,203534,Ulsan Jung-gu,Dense metropolitan core
26010,walk,1.6502500810675367,6.081784861497342,203534,Ulsan Jung-gu,Dense metropolitan core
32010,bicycle,3.6942879413614857,11.839079123704291,292504,Chuncheon,Provincial capital
32010,car,23.3363372808577,27.646288597762766,292504,Chuncheon,Provincial capital
32010,transit,1.4634443745498635,12.143912561879496,292504,Chuncheon,Provincial capital
32010,walk,1.1471125181194104,4.764016902332959,292504,Chuncheon,Provincial capital
32030,bicycle,2.1661848764652505,7.044320020955535,213786,Gangneung,Coastal mid-size city
32030,car,13.563965834993873,16.96567127875539,213786,Gangneung,Coastal mid-size city
32030,transit,0.7348329638049265,5.560109954190952,213786,Gangneung,Coastal mid-size city
32030,walk,0.6411925944636225,2.8213400316204056,213786,Gangneung,Coastal mid-size city
38600,bicycle,0.5786674061562508,0.6982882496785742,39667,Hapcheon,"Rural, low-density county"
38600,car,1.1107973882572415,5.399853782741322,39667,Hapcheon,"Rural, low-density county"
38600,transit,0.4782816951118058,0.6774144755086092,39667,Hapcheon,"Rural, low-density county"
38600,walk,0.4782816951118058,0.6671288476567424,39667,Hapcheon,"Rural, low-density county"
39010,bicycle,4.924762840705232,11.342649524874231,495553,Jeju City,"Island, isolated network"
39010,car,42.265212802666916,50.608939911573536,495553,Jeju City,"Island, isolated network"
39010,transit,2.8420195888902566,15.677299232709048,495553,Jeju City,"Island, isolated network"
39010,walk,2.078816998383624,6.473666792452069,495553,Jeju City,"Island, isolated network"
