reference_date,n_banks,year,half,change,pct_change,in_study
2019h1,6563,2019,h1,NA,NA,FALSE
2019h2,6531,2019,h2,-32,-0.48758189852201733,FALSE
2020h1,6420,2020,h1,-111,-1.6995865870463942,FALSE
2020h2,6238,2020,h2,-182,-2.8348909657320873,TRUE
2021h1,6162,2021,h1,-76,-1.2183392112856686,FALSE
2021h2,5932,2021,h2,-230,-3.732554365465758,TRUE
2022h1,5755,2022,h1,-177,-2.983816587997303,FALSE
2022h2,5648,2022,h2,-107,-1.8592528236316248,TRUE
2023h1,5592,2023,h1,-56,-0.9915014164305949,FALSE
2023h2,5588,2023,h2,-4,-0.07153075822603719,TRUE
2024h1,5560,2024,h1,-28,-0.5010737294201861,FALSE
2024h2,5494,2024,h2,-66,-1.1870503597122302,FALSE
2025h1,5434,2025,h1,-60,-1.0921004732435384,FALSE
