sido_cd,sido_nm,sido_en,y2019,y2025,change,pct_change
22,대구광역시,Daegu,355,271,-84,-23.661971830985916
11,서울특별시,Seoul,1996,1525,-471,-23.597194388777556
25,대전광역시,Daejeon,174,141,-33,-18.96551724137931
21,부산광역시,Busan,552,452,-100,-18.115942028985508
39,제주특별자치도,Jeju,85,72,-13,-15.294117647058824
31,경기도,Gyeonggi,1273,1090,-183,-14.375490966221523
38,경상남도,Gyeongnam,371,318,-53,-14.285714285714285
37,경상북도,Gyeongbuk,267,229,-38,-14.232209737827715
36,전라남도,Jeonnam,175,151,-24,-13.714285714285715
24,광주광역시,Gwangju,183,160,-23,-12.568306010928962
23,인천광역시,Incheon,292,256,-36,-12.32876712328767
26,울산광역시,Ulsan,139,122,-17,-12.23021582733813
33,충청북도,Chungbuk,143,128,-15,-10.48951048951049
34,충청남도,Chungnam,184,167,-17,-9.239130434782608
35,전북특별자치도,Jeonbuk,192,177,-15,-7.8125
32,강원특별자치도,Gangwon,138,132,-6,-4.3478260869565215
29,세종특별자치시,Sejong,44,43,-1,-2.272727272727273
