mode,bin,n_tracts,total_pop,pct_tracts,pct_pop,cum_pct_tracts,cum_pct_pop
car,0,8128,3818791,7.869792120525557,7.381007691608757,7.869792120525557,7.381007691608757
car,1-5,7039,3420519,6.815387147684472,6.611222517360573,14.685179268210028,13.99223020896933
car,6-10,6061,3007693,5.868455959953913,5.813307187274145,20.55363522816394,19.805537396243473
car,11-20,8538,4260883,8.26676736282569,8.235488717776123,28.82040259098963,28.041026114019598
car,21-50,17786,8934855,17.220979657439415,17.2694010953752,46.041382248429045,45.3104272093948
car,51-100,19523,9922811,18.902799159574364,19.17893498580571,64.94418140800342,64.48936219520051
car,101-200,20572,10508049,19.91847484048373,20.310090416784192,84.86265624848714,84.7994526119847
car,201+,15634,7864470,15.137343751512864,15.200547388015298,100,100
transit,0,11498,5410863,11.132734965772988,10.458184650912091,11.132734965772988,10.458184650912091
transit,1-5,9974,4942137,9.657148943174446,9.55222509165446,20.789883908947434,20.01040974256655
transit,6-10,9130,4577463,8.839960883415149,8.847378558044811,29.629844792362583,28.85778830061136
transit,11-20,13269,6688657,12.847474366049902,12.927921104750888,42.477319158412485,41.785709405362255
transit,21-50,23058,11688367,22.325500334040143,22.591424021200947,64.80281949245263,64.3771334265632
transit,51-100,19838,10115989,19.207792333536663,19.55231187494408,84.01061182598929,83.92944530150729
transit,101-200,9230,4703113,8.93678411324445,9.090236472094215,92.94739593923374,93.01968177360149
transit,201+,7284,3611482,7.052604060766258,6.980318226398506,100,100
