sgg_cd,sgg_nm,sido_nm,sido_en,mode,mean_access_2021,mean_access_2022,mean_access_2023,access_change,access_pct_change,total_pop_2021,total_pop_2022,total_pop_2023,banks_2021,banks_2022,banks_2023,bank_change,bank_pct_change
11010,종로구,서울특별시,Seoul,car,412.9247868759951,385.6981804870112,368.67005520628817,-44.25473166970693,-10.717383183634604,148857,147512,146179,92,86,84,-8,-8.695652173913043
11020,중구,서울특별시,Seoul,car,566.0257145119151,526.1415170409638,517.8110616416881,-48.21465287022704,-8.518102911950319,126310,125257,127576,127,124,119,-8,-6.299212598425196
11030,용산구,서울특별시,Seoul,car,605.2936201117823,561.9187530212238,526.4760907114357,-78.81752940034653,-13.021371245543763,221681,219282,214791,61,60,55,-6,-9.836065573770492
11040,성동구,서울특별시,Seoul,car,537.1738582534235,506.5786638122007,528.9147985292582,-8.259059724165354,-1.5375021694128983,286469,282131,277683,52,48,47,-5,-9.615384615384617
11050,광진구,서울특별시,Seoul,car,489.58019469949494,461.0032812053596,431.2328986672794,-58.347296032215525,-11.917821975627339,347099,346519,348160,46,40,40,-6,-13.043478260869565
11060,동대문구,서울특별시,Seoul,car,373.2241090634432,356.2871440424968,349.2021438262467,-24.021965237196525,-6.436338021537913,348201,350709,355999,49,48,47,-2,-4.081632653061225
11070,중랑구,서울특별시,Seoul,car,240.33561569994768,225.75370522278814,203.17541507244684,-37.16020062750084,-15.461795173085921,380307,379127,376621,28,26,25,-3,-10.714285714285714
11080,성북구,서울특별시,Seoul,car,275.92043562819595,265.3513470132741,256.3318586932918,-19.588576934904154,-7.099357062954138,435509,436113,432874,46,45,46,0,0
11090,강북구,서울특별시,Seoul,car,169.02794153329847,163.67537214894298,154.39534057116714,-14.632600962131335,-8.656912478135288,292611,287788,284155,24,22,21,-3,-12.5
11100,도봉구,서울특별시,Seoul,car,119.85431435963777,116.66224102953603,108.65573081808816,-11.19858354154961,-9.343496395087513,309200,304137,299931,22,20,20,-2,-9.090909090909092
11110,노원구,서울특별시,Seoul,car,146.2527479069472,138.66853671163503,126.69143310364133,-19.561314803305876,-13.375006680730332,503929,496423,492979,51,48,46,-5,-9.803921568627452
11120,은평구,서울특별시,Seoul,car,137.2935317074237,123.9719629868316,117.88743851934268,-19.40609318808103,-14.134746878997875,457385,454649,452988,36,36,35,-1,-2.7777777777777777
11130,서대문구,서울특별시,Seoul,car,356.30836727102786,333.6302826193498,314.17709140201396,-42.131275869013905,-11.82438576778258,314547,318308,320168,46,42,41,-5,-10.869565217391305
11140,마포구,서울특별시,Seoul,car,439.08474283883584,406.98525171419504,378.95267308650176,-60.132069752334075,-13.6948665907996,365199,362415,361380,80,73,71,-9,-11.25
11150,양천구,서울특별시,Seoul,car,293.4737535564052,279.58426487361265,263.44030522347055,-30.033448332934654,-10.233776604885476,433373,426981,422248,56,50,47,-9,-16.071428571428573
11160,강서구,서울특별시,Seoul,car,184.76382054062165,171.9704028244655,163.4347301553797,-21.329090385241955,-11.543975613208648,559837,555999,549557,62,60,61,-1,-1.6129032258064515
11170,구로구,서울특별시,Seoul,car,300.2642086246539,275.49057867455275,253.25786436842964,-47.00634425622428,-15.654994137174933,426220,424038,423397,54,52,51,-3,-5.555555555555555
11180,금천구,서울특별시,Seoul,car,199.20144059369923,191.29434229423308,173.325355893598,-25.876084700101245,-12.989908417820804,247398,247185,245860,46,44,44,-2,-4.3478260869565215
11190,영등포구,서울특별시,Seoul,car,455.90038314176246,426.7678152337577,389.1580076096509,-66.74237553211157,-14.639684018725202,402984,401805,400544,116,101,97,-19,-16.379310344827587
